Player,Piece,Move_type,Move_dir,Move_dis_j,Logic,Language
Black,Queen,captures piece [N] by moving diagonally,forwards and left,j_new-j,if j_new>j & i_new>i & capture,Black Queen at {ij} captures piece [N] by moving diagonally |j_new-j| number of squares forwards and left
Black,Queen,captures piece [N] by moving,left,i_new-i,if i_new>I & capture,Black Queen at {ij} captures piece [N] by moving |i_new-i| number of squares left
Black,Queen,captures piece [N] by moving,right,i-i_new,if i_new<I & capture,Black Queen at {ij} captures piece [N] by moving |i-i_new| number of squares right
Black,Queen,captures piece [N] by moving,backwards,j_new-j,if j_new>j ,Black Queen at {ij} captures piece [N] by moving |j_new-j| number of squares backwards
Black,Queen,captures piece [N] by moving diagonally,backwards and right,j_new-j,if j_new>j & i_new<i & capture,Black Queen at {ij} captures piece [N] by moving diagonally |j_new-j| number of squares backwards and right
Black,Queen,captures piece [N] by moving diagonally,backwards and left,j_new-j,if j_new>j & i_new>I & capture,Black Queen at {ij} captures piece [N] by moving diagonally |j_new-j| number of squares backwards and left
White,Knight,moves,forwards and right,j_new-j,if j_new>j,White Knight at {ij} moves |j_new-j| number of squares forwards and right
White,Knight,moves,forwards and left,j_new-j,if j_new>j,White Knight at {ij} moves |j_new-j| number of squares forwards and left
White,Knight,moves,backwards and right,j-j_new,if j_new<j,White Knight at {ij} moves |j-j_new| number of squares backwards and right
White,Knight,moves,backwards and left,j-j_new,if j_new<j,White Knight at {ij} moves |j-j_new| number of squares backwards and left
White,Knight,captures piece [N] by moving,forwards and right,j_new-j,if j_new>j & capture,White Knight at {ij} captures piece [N] by moving |j_new-j| number of squares forwards and right
White,Knight,captures piece [N] by moving,forwards and left,j_new-j,if j_new>j & capture,White Knight at {ij} captures piece [N] by moving |j_new-j| number of squares forwards and left
White,Knight,captures piece [N] by moving,backwards and right,j-j_new,if j_new<j & capture,White Knight at {ij} captures piece [N] by moving |j-j_new| number of squares backwards and right
White,Knight,captures piece [N] by moving,backwards and left,j-j_new,if j_new<j & capture,White Knight at {ij} captures piece [N] by moving |j-j_new| number of squares backwards and left
Black,Knight,moves,forwards and right,j-j_new,if j_new>j,Black Knight at {ij} moves |j-j_new| number of squares forwards and right
Black,Knight,moves,forwards and left,j-j_new,if j_new>j,Black Knight at {ij} moves |j-j_new| number of squares forwards and left
Black,Knight,moves,backwards and right,j_new-j,if j_new<j,Black Knight at {ij} moves |j_new-j| number of squares backwards and right
Black,Knight,moves,backwards and left,j_new-j,if j_new<j,Black Knight at {ij} moves |j_new-j| number of squares backwards and left
Black,Knight,captures piece [N] by moving,forwards and right,j-j_new,if j_new>j & capture,Black Knight at {ij} captures piece [N] by moving |j-j_new| number of squares forwards and right
Black,Knight,captures piece [N] by moving,forwards and left,j-j_new,if j_new>j & capture,Black Knight at {ij} captures piece [N] by moving |j-j_new| number of squares forwards and left
Black,Knight,captures piece [N] by moving,backwards and right,j_new-j,if j_new<j & capture,Black Knight at {ij} captures piece [N] by moving |j_new-j| number of squares backwards and right
Black,Knight,captures piece [N] by moving,backwards and left,j_new-j,if j_new<j & capture,Black Knight at {ij} captures piece [N] by moving |j_new-j| number of squares backwards and left
White,King,captures piece [N] by moving diagonally,forwards and right,j_new-j,if j_new>j & i_new>I & capture,White King at {ij} captures piece [N] by moving diagonally |j_new-j| number of squares forwards and right
White,King,captures piece [N] by moving diagonally,forwards and left,j_new-j,if j_new>j & i_new<i & capture,White King at {ij} captures piece [N] by moving diagonally |j_new-j| number of squares forwards and left
White,King,captures piece [N] by moving diagonally,backwards and right,j-j_new,if j_new<j & i_new>I & capture,White King at {ij} captures piece [N] by moving diagonally |j-j_new| number of squares backwards and right
White,King,captures piece [N] by moving diagonally,backwards and left,j-j_new,if j_new<j & i_new<i & capture,White King at {ij} captures piece [N] by moving diagonally |j-j_new| number of squares backwards and left
Black,King,captures piece [N] by moving diagonally,forwards and right,j-j_new,if j_new<j & i_new<I & capture,Black King at {ij} captures piece [N] by moving diagonally |j-j_new| number of squares forwards and right
Black,King,captures piece [N] by moving diagonally,forwards and left,j-j_new,if j_new<j & i_new>i & capture,Black King at {ij} captures piece [N] by moving diagonally |j-j_new| number of squares forwards and left
Black,King,captures piece [N] by moving diagonally,backwards and right,j_new-j,if j_new>j & i_new<I & capture,Black King at {ij} captures piece [N] by moving diagonally |j_new-j| number of squares backwards and right
Black,King,captures piece [N] by moving diagonally,backwards and left,j_new-j,if j_new>j & i_new>i & capture,Black King at {ij} captures piece [N] by moving diagonally |j_new-j| number of squares backwards and left
